,title,few,people,time,install,tag
0,99《バーストゲーム》,無料,2~8人,6~15分,不要,盛り上がる対人ボードゲーム対戦
1,DOBBLE（ドブル）,無料,2~8人,3~5分,不要,盛り上がる対人リアルタイムボードゲーム発想力対戦
2,BANDIDO（バンディド）,無料,1~4人,7~15分,不要,パズル盛り上がる協力ボードゲーム発想力
3,トゥーンブラスト（Toon Blast）,基本無料,1人,3~10分,必須,チーム戦発想力
4,SKULL（スカル）,無料,3~6人,5~15分,不要,盛り上がる推理対人ボードゲーム対戦
5,CATAN（カタン）,基本無料,1~4人,30~90分,不要,対人ボードゲーム対戦
6,大富豪（大貧民）,無料,4~6人,5~15分,不要,対人ボードゲーム対戦
7,GOD FIELD (ゴッドフィールド),無料,1~9人,10~30分,不要,推理対人チーム戦対戦
8,ピクトセンス,無料,2~30人,5~30分,不要,お絵かき盛り上がる推理発想力
9,Agar.io(アガー),無料,1~8人,5~15分,不要,対人チーム戦サバイバルリアルタイム対戦
0,Paint Strike（ペイントストライク）,無料,1人,3分,不要,対人チーム戦協力シューティングリアルタイム対戦
1,シロペンロード,無料,1人,3分,不要,お絵かき推理発想力
2,CODENAMES ONLINE（コードネームオンライン）,無料,4~8人,15~30分,不要,盛り上がる推理対人チーム戦協力ボードゲーム発想力対戦
3,Gartic Phone,無料,1~14人,15分,不要,お絵かき盛り上がる推理協力リアルタイム発想力
4,人狼Online,無料,1~19人,30分,不要,推理対人シミュレーションチーム戦協力サバイバル
5,Vampire Survivors（ヴァンパイアサバイバーズ）,基本無料,1人,1~30分,不要,サバイバルリアルタイムタワーディフェンス
6,LifeAfter（ライフアフター）,基本無料,1~4人,60~120分,必須,ゾンビサバイバル協力クラフトシューティングリアルタイム
7,Minecraft（マインクラフト）,基本無料,1~8人,15~120分,必須,サバイバル協力クラフトリアルタイム発想力RPG
8,リバーシ（オセロ）,無料,1~2人,15分,不要,ボードゲーム対戦
9,クラッシュ・ロワイヤル（クラロワ）,基本無料,2~4人,5分,必須,リアルタイムストラテジーゲームタワーディフェンス
0,インペリアルサガエクリプス,基本無料,1人,30分,不要,RPG
1,弓矢バトルオンライン,基本無料,1~10人,5分,必須,リアルタイム対戦
2,イラストチェイナー ,無料,2~4人,5~15分,必須,お絵かき推理協力発想力
3,Nocca Noccaノッカノッカ,基本無料,1~2人,5分,必須,ボードゲーム対戦
4,ゴリラ・オンライン ,基本無料,1~4人,5分,必須,対人チーム戦サバイバルリアルタイム対戦
5,みんなで早押しクイズ,無料,1人~,10分,必須,盛り上がる対人リアルタイム対戦
6,スターシュートVS,基本無料,1~2人,5分,必須,リアルタイム対戦
7,2 人ミニゲーム : チャレンジ,無料,1~2人,3~5分,必須,対人対戦
8,雀魂 -じゃんたま-,基本無料,1~4人,30~60分,不要,ボードゲーム対戦
9,ラウンジ,基本無料,2人~,5~120分,不要,盛り上がる発想力対戦
0,Slither.io (スリザリオ),無料,1人,1~30分,不要,対人リアルタイム対戦
1,定時退社オンライン,基本無料,1~5人,15分,必須,対人チーム戦協力リアルタイム対戦
2,消しゴム落とし,基本無料,1~4人,5~15分,必須,対人対戦
3,Stick Fight: The Game Mobile,基本無料,1~4人,10~20分,必須,対戦
4,大喜利オンライン - みんなでリモート大喜利,無料,1~4人,10~30分,必須,発想力対戦
5,棒レンジャー,無料,1人,30~360分,不要,対戦RPG
6,虚構新聞,無料,1人,5~15分,不要,
7,Amang Us（アモングアス）,基本無料,4~15人,10~40分,必須,
